beach_id,marina_id,udaljenost_km
202,node/10280266203,2.68
202,node/11833156908,9.05
203,node/702247823,0.38
203,node/11070689505,0.25
204,node/3670462062,6.36
205,node/702247823,7.12
205,node/1744047034,9.85
205,node/11070689505,6.96
206,node/1628350131,7.01
207,node/1628350131,5.43
207,node/3688555226,8.23
209,node/702191952,8.76
209,node/904044259,6.62
209,node/1628350131,0.48
209,node/3688555226,7.56
210,node/1628350131,3.84
210,node/3688555226,9.84
211,node/1086060431,9.25
211,node/1086060490,8.82
211,node/5010237538,0.3
212,node/702191952,7.35
212,node/1086060431,5.04
212,node/1086060490,5.4
212,node/5010237538,6.82
213,node/702191952,2.76
213,node/904044259,6.06
213,node/1086060431,0.46
213,node/1086060490,1.45
213,node/5010237538,9.5
214,node/702191952,9.7
214,node/904044259,5.09
214,node/1628350131,8.14
214,node/3688555226,5.3
215,node/904044259,5.64
215,node/1628350131,8.48
215,node/3688555226,5.04
216,node/702191952,9.44
216,node/904044259,4.83
216,node/1628350131,7.94
216,node/3688555226,5.38
217,node/904044259,6.58
217,node/1628350131,9.28
217,node/3688555226,4.98
218,node/904044259,6.01
218,node/1628350131,8.76
218,node/3688555226,4.95
219,node/904044259,6.95
219,node/1628350131,9.74
219,node/3688555226,5.23
220,node/702191952,4.82
220,node/904044259,0.19
220,node/1086060431,6.32
220,node/1086060490,6.42
220,node/1628350131,6.1
220,node/3688555226,8.6
224,node/573259121,1.93
224,node/573259237,1.74
224,node/573329555,6.34
224,node/2639666418,5.88
224,node/3393495998,1.95
225,node/573259121,1.59
225,node/573259237,1.59
225,node/573329555,4.55
225,node/2639666418,4.03
225,node/3393495998,1.61
226,node/573259121,1.32
226,node/573259237,1.12
226,node/573329555,5.51
226,node/2639666418,5.01
226,node/3393495998,1.34
227,node/3001970153,0.26
227,node/3670462062,9.86
227,node/13725369626,8.19
228,node/293728328,8.81
228,node/2515514855,5.12
228,node/2523589734,0.24
228,node/3618305310,2.15
228,node/5905768224,7.12
228,node/12989448826,5.13
228,node/12989448827,5.21
229,node/293728328,8.68
229,node/2515514855,5.61
229,node/2523589734,0.74
229,node/3618305310,2.12
229,node/5905768224,6.71
229,node/12989448826,5.63
229,node/12989448827,5.7
230,node/293728328,2.91
230,node/293728330,0.47
230,node/5905768224,8.24
231,node/293728328,1.57
231,node/293728330,0.95
231,node/5905768224,6.98
232,node/293728328,0.61
232,node/293728330,1.89
232,node/2523589734,9.49
232,node/5905768224,6.15
233,node/293728328,5.84
233,node/293728330,3.38
234,node/1613711110,8.65
234,node/1613711217,9.01
234,node/3688555226,6.99
235,node/904044259,9.64
235,node/3688555226,3.16
236,node/1613711110,0.57
236,node/1613711217,0.21
236,node/4463320622,6.81
237,node/1613711110,0.64
237,node/1613711217,0.27
237,node/4463320622,6.74
244,node/702247823,1.4
244,node/11070689505,1.39
245,node/702247823,0.76
245,node/11070689505,0.7
246,node/702247823,0.62
246,node/11070689505,0.55
247,node/702247823,0.75
247,node/11070689505,0.65
248,node/1478321664,8.42
248,node/1744047034,0.8
249,node/1478321664,7.66
249,node/1744047034,1.47
250,node/1478321664,7.08
250,node/1744047034,2.04
251,node/1478321664,8.06
251,node/1744047034,1.14
252,node/1478321664,6.71
252,node/1744047034,2.44
253,node/702247823,1.39
253,node/11070689505,1.35
254,node/1478321664,9.61
254,node/1744047034,0.62
255,node/1478321664,9.03
255,node/1744047034,0.07
256,node/702247823,1.79
256,node/11070689505,1.86
257,node/702247823,0.8
257,node/11070689505,0.64
258,node/702247823,0.81
258,node/11070689505,0.78
259,node/1478321664,9.64
259,node/1744047034,0.83
260,node/1628350131,5.37
